"symbol","type","quantity","current_price","total_value"
"SJC_1L","gold","10,8","179.600.000","1.939.680.000"
"MWG","stock","3.900","83.700","326.430.000"
"PNJ","stock","2.400","117.600","282.240.000"
"MBB","stock","10.000","26.650","266.500.000"
"FPT","stock","3.130","81.100","253.843.000"
"ACB","stock","10.200","23.800","242.760.000"
"VCB","stock","3.400","59.900","203.660.000"
"CTG","stock","4.300","34.750","149.425.000"
"REE","stock","2.400","62.800","150.720.000"
"HPG","stock","5.400","27.200","146.880.000"
"DGC","stock","1.500","74.900","112.350.000"
"CTR","stock","1.200","83.000","99.600.000"
"TCB","stock","3.000","30.850","92.550.000"
"BMP","stock","600","141.900","85.140.000"
"SSI","stock","1.700","29.300","49.810.000"
"BTC","crypto","0,091","1.979.421.140","180.881.483"
"ETH","crypto","0,846","61.976.798","52.416.877"
"PAXG","crypto","0,896","131.684.137","117.974.501"
"BNB","crypto","0,464","17.973.727","8.333.698"
"SOL","crypto","4,302","2.507.899","10.788.254"
"XRP","crypto","242,318","42.026","10.183.651"
"AVAX","crypto","29,074","275.565","8.011.909"
"ADA","crypto","651,452","7.686,17","5.007.174"
"DOT","crypto","64,338","42.565","2.738.554"
"LINK","crypto","16,717","261.222","4.366.916"
"CASH","tiền mặt","1","6.214.043.000","6.214.043.000"
"CCQ","chứng chỉ quỹ","1","1.058.323.000","1.058.323.000"
"DAT_NEN","bất động sản","1","16.080.000.000","16.080.000.000"